"Statistic Label"                                      ,"Census Year" ,"Sex"        ,"Citizenship"                                                          ,"Administrative County"                 ,"UNIT"   ,"VALUE"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Kosovo"                                                               ,"Ireland"                               ,"Number" ,"201"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Kosovo"                                                               ,"Carlow County Council"                 ,"Number" ,"1"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Kosovo"                                                               ,"Dublin City Council"                   ,"Number" ,"16"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Kosovo"                                                               ,"Dún Laoghaire Rathdown County Council" ,"Number" ,"2"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Kosovo"                                                               ,"Fingal County Council"                 ,"Number" ,"11"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Kosovo"                                                               ,"South Dublin County Council"           ,"Number" ,"11"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Kosovo"                                                               ,"Kildare County Council"                ,"Number" ,"10"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Kosovo"                                                               ,"Kilkenny County Council"               ,"Number" ,"2"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Kosovo"                                                               ,"Laois County Council"                  ,"Number" ,"9"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Kosovo"                                                               ,"Longford County Council"               ,"Number" ,"0"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Kosovo"                                                               ,"Louth County Council"                  ,"Number" ,"5"
